time,P_Cytosol
0,0
0.01,0
0.02,0
0.03,8.879161e-287
0.04,1.606375e-214
0.05,3.454499e-171
0.06,2.583267e-142
0.07,1.061481e-121
0.08,3.009105e-106
0.09,3.097565e-94
0.10,1.248106e-84
0.11,8.935565e-77
0.12,3.11568e-70
0.13,1.063332e-64
0.14,5.84724e-60
0.15,7.466647e-56
0.16,2.912176e-52
0.17,4.277898e-49
0.18,2.78569e-46
0.19,9.145039e-44
0.20,1.677527e-41
0.21,1.868742e-39
0.22,1.353345e-37
0.23,6.740349e-36
0.24,2.419523e-34
0.25,6.511023e-33
0.26,1.358021e-31
0.27,2.258512e-30
0.28,3.068706e-29
0.29,3.478614e-28
0.30,3.350126e-27
0.31,2.784757e-26
0.32,2.025782e-25
0.33,1.305438e-24
0.34,7.532422e-24
0.35,3.92873e-23
0.36,1.867988e-22
0.37,8.157718e-22
0.38,3.294275e-21
0.39,1.237574e-20
0.40,4.348743e-20
0.41,1.436373e-19
0.42,4.479287e-19
0.43,1.324146e-18
0.44,3.724233e-18
0.45,9.99904e-18
0.46,2.570521e-17
0.47,6.34503e-17
0.48,1.507659e-16
0.49,3.456578e-16
0.50,7.662995e-16
0.51,1.645968e-15
0.52,3.43171e-15
0.53,6.956662e-15
0.54,1.373325e-14
0.55,2.643982e-14
0.56,4.970986e-14
0.57,9.138398e-14
0.58,1.644554e-13
0.59,2.90034e-13
0.60,5.017805e-13
0.61,8.524219e-13
0.62,1.42317e-12
0.63,2.337119e-12
0.64,3.778029e-12
0.65,6.01627e-12
0.66,9.444197e-12
0.67,1.462375e-11
0.68,2.23497e-11
0.69,3.373284e-11
0.70,5.030788e-11
0.71,7.417236e-11
0.72,1.081632e-10
0.73,1.560795e-10
0.74,2.229602e-10
0.75,3.154281e-10
0.76,4.421117e-10
0.77,6.141591e-10
0.78,8.458576e-10
0.79,1.155377e-09
0.80,1.565654e-09
0.81,2.105437e-09
0.82,2.810513e-09
0.83,3.725139e-09
0.84,4.903698e-09
0.85,6.412615e-09
0.86,8.332545e-09
0.87,1.076087e-08
0.88,1.381453e-08
0.89,1.76332e-08
0.90,2.238292e-08
0.91,2.826004e-08
0.92,3.549569e-08
0.93,4.436072e-08
0.94,5.517112e-08
0.95,6.829399e-08
0.96,8.415402e-08
0.97,1.032406e-07
0.98,1.261157e-07
0.99,1.534217e-07
1.00,1.858909e-07
