time,P_Cytosol
0,0
0.01,8.58475e-16
0.02,5.44554e-14
0.03,6.14785e-13
0.04,3.42368e-12
0.05,1.29447e-11
0.06,3.83108e-11
0.07,9.57516e-11
0.08,2.11468e-10
0.09,4.2492e-10
0.1,7.92505e-10
0.11,1.39159e-09
0.12,2.32486e-09
0.13,3.725e-09
0.14,5.75961e-09
0.15,8.63641e-09
0.16,1.26087e-08
0.17,1.79807e-08
0.18,2.5114e-08
0.19,3.44328e-08
0.2,4.64305e-08
0.21,6.16755e-08
0.22,8.08182e-08
0.23,1.04597e-07
0.24,1.33844e-07
0.25,1.69494e-07
0.26,2.12588e-07
0.27,2.64283e-07
0.28,3.25854e-07
0.29,3.98707e-07
0.3,4.84381e-07
0.31,5.84555e-07
0.32,7.01056e-07
0.33,8.35865e-07
0.34,9.91124e-07
0.35,1.16914e-06
0.36,1.3724e-06
0.37,1.60355e-06
0.38,1.86546e-06
0.39,2.16115e-06
0.4,2.49386e-06
0.41,2.86703e-06
0.42,3.2843e-06
0.43,3.74956e-06
0.44,4.26686e-06
0.45,4.84053e-06
0.46,5.47511e-06
0.47,6.17537e-06
0.48,6.94633e-06
0.49,7.79325e-06
0.5,8.72165e-06
0.51,9.73729e-06
0.52,1.08462e-05
0.53,1.20547e-05
0.54,1.33693e-05
0.55,1.47968e-05
0.56,1.63445e-05
0.57,1.80195e-05
0.58,1.98297e-05
0.59,2.17829e-05
0.6,2.38874e-05
0.61,2.61517e-05
0.62,2.85847e-05
0.63,3.11954e-05
0.64,3.39933e-05
0.65,3.69882e-05
0.66,4.01899e-05
0.67,4.36089e-05
0.68,4.72558e-05
0.69,5.11415e-05
0.7,5.52773e-05
0.71,5.96747e-05
0.72,6.43455e-05
0.73,6.93021e-05
0.74,7.45569e-05
0.75,8.01226e-05
0.76,8.60124e-05
0.77,9.22398e-05
0.78,9.88185e-05
0.79,0.000105763
0.8,0.000113086
0.81,0.000120805
0.82,0.000128932
0.83,0.000137485
0.84,0.000146478
0.85,0.000155927
0.86,0.000165848
0.87,0.000176259
0.88,0.000187176
0.89,0.000198616
0.9,0.000210597
0.91,0.000223136
0.92,0.000236252
0.93,0.000249962
0.94,0.000264286
0.95,0.000279243
0.96,0.000294851
0.97,0.000311131
0.98,0.000328102
0.99,0.000345784
1,0.000364198
