time,P_Cytosol
0.000000,0.000000
0.010000,0.000000
0.020000,0.000000
0.030000,0.000011
0.040000,0.000294
0.050000,0.001998
0.060000,0.006812
0.070000,0.015783
0.080000,0.028853
0.090000,0.045174
0.100000,0.063592
0.110000,0.082981
0.120000,0.102412
0.130000,0.121195
0.140000,0.138863
0.150000,0.155133
0.160000,0.169860
0.170000,0.182999
0.180000,0.194572
0.190000,0.204646
0.200000,0.213313
0.210000,0.220681
0.220000,0.226862
0.230000,0.231967
0.240000,0.236106
0.250000,0.239379
0.260000,0.241881
0.270000,0.243700
0.280000,0.244915
0.290000,0.245597
0.300000,0.245811
0.310000,0.245615
0.320000,0.245061
0.330000,0.244194
0.340000,0.243056
0.350000,0.241682
0.360000,0.240106
0.370000,0.238356
0.380000,0.236458
0.390000,0.234433
0.400000,0.232303
0.410000,0.230083
0.420000,0.227791
0.430000,0.225439
0.440000,0.223039
0.450000,0.220603
0.460000,0.218140
0.470000,0.215658
0.480000,0.213163
0.490000,0.210664
0.500000,0.208164
0.510000,0.205669
0.520000,0.203184
0.530000,0.200711
0.540000,0.198254
0.550000,0.195817
0.560000,0.193400
0.570000,0.191007
0.580000,0.188639
0.590000,0.186297
0.600000,0.183983
0.610000,0.181698
0.620000,0.179442
0.630000,0.177217
0.640000,0.175022
0.650000,0.172858
0.660000,0.170726
0.670000,0.168625
0.680000,0.166556
0.690000,0.164519
0.700000,0.162513
0.710000,0.160539
0.720000,0.158596
0.730000,0.156684
0.740000,0.154803
0.750000,0.152953
0.760000,0.151132
0.770000,0.149342
0.780000,0.147580
0.790000,0.145848
0.800000,0.144145
0.810000,0.142470
0.820000,0.140823
0.830000,0.139203
0.840000,0.137610
0.850000,0.136043
0.860000,0.134503
0.870000,0.132988
0.880000,0.131498
0.890000,0.130033
0.900000,0.128592
0.910000,0.127175
0.920000,0.125782
0.930000,0.124411
0.940000,0.123063
0.950000,0.121737
0.960000,0.120432
0.970000,0.119149
0.980000,0.117887
0.990000,0.116645
1.000000,0.115423
